,provlem name→,saitaku,ho ho ho,kura,Yokohama,spacious,VIDEO,BUS,BUS2,3month,tank,nice view,BRIDGE,"happy birthday, yall",whois,SSID,BB,Altai
59,600,o,,,,,,,,o,,,,,o,,,
60,600,,o,,,o,,,,,,,,,o,o,,
61,600,o,o,,,,,,,,,,,,o,,,
62,500,o,o,,,,,,,,,,,,,,,
63,500,,o,,,,,,,,,,,,o,o,,
64,500,,,,,o,o,,o,,,,,,o,,,
65,500,,,,,o,o,,o,,,,,,o,,,
66,500,,,,,o,,o,,,,,,,o,o,,
67,500,,o,,,,o,,,,,,,,o,,,
68,500,,,,,o,,,,,,o,,,o,,,
69,500,,o,,,,o,,,,,,,,o,,,
70,500,,o,,,,o,,,,,,,,o,,,
71,400,,,,,,o,o,,,,,,,,o,,
72,400,,o,,,,,,,,,,,,o,,,
73,400,,o,,,,,,,,,,,,o,,,
74,400,,o,,,o,,,,,,,,,,,,
75,400,,,,,,,,,,,o,,,o,,,
76,300,,o,,,,,,,,,,,,,,,
77,300,o,,,,,,,,,,,,,o,,,
78,300,,o,,,,,,,,,,,,,,,
79,300,,,,,o,o,,,,,,,,o,,,
80,300,o,,,,,o,,,,,,,,,,,
81,300,,o,,,,,,,,,,,,,,,
82,300,,,,,o,,,,,,,,,o,o,,
83,300,o,,,,,,,,,,,,,o,,,
84,300,o,,,,,,,,,,,,,o,,,
85,300,,,,,o,o,,,,,,,,o,,,
86,300,,,,,,o,,,,,,,,o,o,,
87,300,o,,,,,,,,,,,,,o,,,
88,300,,,,,o,o,,,,,,,,o,,,
89,200,,,,,,,,,,,,,o,,,,
90,200,,,,,,,,,,,,,,o,o,,
91,200,o,,,,,,,,,,,,,,,,
92,200,,,,,,o,,,,,,,,o,,,
93,200,o,,,,,,,,,,,,,,,,
94,200,o,,,,,,,,,,,,,,,,
95,200,,,,,,,,,,,,,,o,o,,
96,200,,,,,o,,,,,,,,,o,,,
97,200,o,,,,,,,,,,,,,,,,
98,200,o,,,,,,,,,,,,,,,,
99,200,,,,,,o,,,,,,,,o,,,
100,200,,,,,o,o,,,,,,,,,,,
101,200,,,,,o,o,,,,,,,,,,,
102,200,,,,,o,,,,,,,,,o,,,
103,200,,,,,o,,,,,,,,,o,,,
104,100,,,,,,,,,,,,,,o,,,
105,100,,,,,,,,,,,,,,o,,,
106,100,,,,,,,,,,,,,,o,,,
107,100,,,,,,,,,,,,,,o,,,
108,100,,,,,,,,,,,,,,o,,,
109,100,,,,,,,,,,,,,,o,,,
110,100,,,,,,,,,,,,,,o,,,
111,100,,,,,,o,,,,,,,,,,,
112,100,,,,,,,,,,,,,,o,,,
113,100,,,,,,,,,,,,,,o,,,
114,100,,,,,,,,,,,,,,o,,,
115,100,,,,,,,,,,,,,,o,,,
116,100,,,,,,,,,,,,,,o,,,
117,100,,,,,,,,,,,,,,o,,,
118,100,,,,,,,,,,,,,,o,,,
119,100,,,,,,,,,,,,,,o,,,
120,100,,,,,,,,,,,,,,o,,,
121,100,,,,,,,,,,,,,,o,,,
122,100,,,,,,,,,,,,,,o,,,
123,100,,,,,,,,,,,,,,o,,,
124,100,,,,,,,,,,,,,,o,,,
125,100,,,,,,,,,,,,,,o,,,
